id,review
13/05/2015 23:59,"#Piku is an epitome of simplicity.The narrative is so sweet,natural and so are the characters.@deepikapadukone has set a new benchmark!"

13/05/2015 23:59,"RT @supercinemaent: #Piku : 1st wknd - 24.00 cr, Mon - 4.00 cr, Tue - 3.50 cr, Total - 31.50 cr."

13/05/2015 23:56,"RT @SrBachchan: T 1864 - A day when you realise that it is work that pays, not the pay that works ! Deluged by the reactions of media for P‚?¶"

13/05/2015 23:56,4/5 #Review on #Piku by irshad_ansari214 : Must-watch- - http://t.co/rY22ybQWVt

13/05/2015 23:56,4/5 #Review on #Piku by irshad_ansari214 : Must-watch- - http://t.co/4wJbFGe4Uk

13/05/2015 23:56,"RT @MeDeshmukh: Pick #PiKu a film with a soul must watch, and take a bow what performances by  @SrBachchan and @deepikapadukone"

13/05/2015 23:51,RT @RajanMNaidu: In short span @deepikapadukone has proved her versatility by doing diff kind of roles incldng #Piku. No doubt she is @Srid‚?¶

13/05/2015 23:48,RT @KishwerM: Piku with besties ??? @saumya_seth @Gurneetchadha ??? http://t.co/l8oFjAb5VJ

13/05/2015 23:45,"After Piku, Deepika proves herself as a real superstar  http://t.co/qCRj4Si2XL"

13/05/2015 23:45,#Piku  pleasant exp after long tym Happy that direcotrs/actors arnd  to make simple movie. flawless performance @SrBachchan @Dipeekapadukon

13/05/2015 23:44,RT @KishwerM: Piku with besties ??? @saumya_seth @Gurneetchadha ??? http://t.co/l8oFjAb5VJ

13/05/2015 23:44,Time for #Piku!!!!!!!!!!!!! @deepikapadukone @SrBachchan

13/05/2015 23:44,"#Piku!  Unique concept, but did not feel it was worthy of all superlatives I have read. Waste of my time &amp; money! May b over expectation?"

13/05/2015 23:43,RT @SalmanYKhan: PIKU ..An absolute delight with a brilliant screen play and pure essence of natural acting .. A big congratulations 2 @Sho‚?¶

13/05/2015 23:43,"RT @hamsterwatch: ** BBCAN3 SPOILERS **
.
.
.
.
.
.
.
.
.
Brittnee replaced herself &amp; Godfrey with Bruno &amp; Zach - Bruno evicted 4-0"

13/05/2015 23:40,RT @hussainthelal: Piku is perhaps the most beautiful film I've seen in a while! Films like these will change the game successfully for all‚?¶

